size,t1,t2,t4,t8
512,0,0.66,1.022,1.734
1024,0,1.013,0.665,1.409
2048,0.663,0.689,1.396,1.384
4096,0.996,1.15,1.609,1.757
8192,1.691,1.822,1.795,2.693
16384,1.994,2.485,2.758,3.999
32768,4.482,5.593,4.651,5.613
65536,13.808,9.284,9.246,10.547
131072,32.799,20.556,17.503,18.169
262144,58.423,39.835,32.55,32.726
524288,143.638,80.517,64.527,65.752
1048576,285.838,163.851,127.677,145.164
2097152,554.91,341.251,272.868,301.441
4194304,1157.279,707.378,649.743,598.622
8388608,2554.095,2005.182,1087.739,1608.692
16777216,5120.062,2949.493,2186.378,3287.648
